Nombre,Telefono_Limpio,Fecha_Reenvio,Estado
TALLER ELÉCTRICO CHISPALO ORIGINAL,59175997535,2026-03-08 18:57:10,Reenviado
ESEV empresa De Servicios Electricos Villarroel,59177428761,2026-03-08 18:58:22,Reenviado
"Taller eléctrico ""Raúl""",59167828322,2026-03-08 19:00:05,Reenviado
Oficina Nohelia Torrico Abogada,59172767071,2026-03-08 19:01:53,Reenviado
Consorcio Jurídico Rivera & Asociados,59179755477,2026-03-08 19:03:54,Reenviado
Trends Beauty Center,59172213108,2026-03-08 19:11:30,Reenviado
Thyka Lau Color Hair,59160360914,2026-03-08 19:12:48,Reenviado
Peluquería Miriam,59179982201,2026-03-08 19:14:14,Reenviado
Mueblería en melamina Hogar,59174146943,2026-03-08 19:16:06,Reenviado
Pizzería DíCarlos,59171467662,2026-03-08 19:17:39,Reenviado
Restaurante La Sazón de Mamá Julia,59165304104,2026-03-08 19:23:35,Reenviado
Tacos Guadalajara,59170367998,2026-03-08 19:25:04,Reenviado
Artesanal Panadería,59171453976,2026-03-08 19:26:59,Reenviado
Victoria Pastelería y Arte,59179797558,2026-03-08 19:28:36,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
Repostería Tiquipayeño Suc. Circunvalación,59171788782,2026-03-09 07:37:38,Reenviado
ESTUDIO CONTABLE ASOFEM,59175939507,2026-03-09 07:39:11,Reenviado
Amarthe Nails,59162671039,2026-03-09 07:41:00,Reenviado
TerraBella SPA,59175939640,2026-03-09 07:42:43,Reenviado
Cabero Nails Depil,59164889910,2026-03-09 07:44:31,Reenviado
Velvet Beauty Studio,59176404598,2026-03-09 07:54:14,Reenviado
E - Lashes Extensiones De Pestañas,59173645088,2026-03-09 07:55:28,Reenviado
PARADOX,59164927066,2026-03-09 07:57:21,Reenviado
CIMATEL IMPORTACIONES S.R.L,59161679790,2026-03-09 07:58:46,Reenviado
Multi Energia SRL,59172240057,2026-03-09 08:00:24,Reenviado
Noveltek LTDA.,59175925217,2026-03-09 08:06:01,Reenviado
Panini's Repostería - Salón de té,59162648765,2026-03-09 08:07:29,Reenviado
Trancapechos Y Silpanchos Don Carlos,59177955549,2026-03-09 08:08:53,Reenviado
Confitería San José 2,59174349639,2026-03-09 08:10:14,Reenviado
Academia de Taekwondo Athletic,59160760369,2026-03-09 08:12:01,Reenviado
ACADEMIA BUSHIDO KAI,59175998918,2026-03-09 08:17:30,Reenviado
CENTRO DE ARTES MARCIALES COCHABAMBA,59170783981,2026-03-09 08:19:21,Reenviado
Academia de artes marciales Yongshi,59170382587,2026-03-09 08:21:28,Reenviado
Casa de Funerales Garnica,59178300069,2026-03-09 08:23:30,Reenviado
LAS MISIONES Casa de Funerales,59161610652,2026-03-09 08:24:55,Reenviado
Servicios Bolivar Salones Velatorio Bethel,59160349992,2026-03-09 08:32:00,Reenviado
Funeraria Rivas,59175934111,2026-03-09 08:34:04,Reenviado
Yo amo los zapatos Cochabamba-Bolivia,59179955793,2026-03-09 08:36:02,Reenviado
𝐓𝐢𝐞𝐧𝐝𝐚 𝐃𝐞 𝐂𝐚𝐥𝐳𝐚𝐝𝐨𝐬 𝐂𝐚𝐫𝐌𝐞𝐥,59179746585,2026-03-09 08:37:24,Reenviado
